Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 6.91      | 0.0841   | 2.548    | 6.9941      | 0.0031    || 0.011           | 18.6
125       | 13.6404   | 0.6409   | 10.3273  | 14.2813     | 0.0102    || 0.026           | 11.7
200       | 12.372    | 0.4451   | 5.9819   | 12.8171     | 0.0303    || 0.049           | 4.6
250       | 5.3843    | 0.0855   | 11.3959  | 5.4698      | 0.0282    || 0.059           | 3.0
300       | 3.2402    | 0.0855   | 14.0285  | 3.3257      | 0.0252    || 0.076           | 2.6
400       | 3.2484    | 0.0      | 2.6758   | 3.2484      | 0.0267    || 0.066           | 0.9
500       | 1.1585    | 0.0      | 0.1598   | 1.1585      | 0.0138    || 0.055           | 0.4
600       | 0.4322    | 0.0      | 3.0524   | 0.4322      | 0.0131    || 0.038           | 0.3
700       | 0.433     | 0.0      | 3.0524   | 0.433       | 0.0138    || 0.04            | 0.2
800       | 0.4393    | 0.0      | 3.0524   | 0.4393      | 0.0125    || 0.036           | 0.2
900       | 0.4393    | 0.0      | 3.0524   | 0.4393      | 0.0117    || 0.032           | 0.2
1000      | 0.4393    | 0.0      | 3.0524   | 0.4393      | 0.0099    || 0.026           | 0.2
1100      | 0.4393    | 0.0      | 3.0524   | 0.4393      | 0.0083    || 0.022           | 0.2
1200      | 1.3179    | 0.0      | 9.1571   | 1.3179      | 0.0235    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 0.4393    | 0.0      | 3.0524   | 0.4393      | 0.0052    || 0.013           | 0.2
