Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 15.5791   | 0.256    | 91.1553  | 15.8351     | 0.0031    || 0.011           | 18.6
125       | 21.2554   | 20.6633  | 35.5909  | 41.9187     | 0.0098    || 0.026           | 11.7
200       | 25.0082   | 0.4372   | 33.7709  | 25.4454     | 0.0293    || 0.049           | 4.6
250       | 10.6679   | 0.1651   | 23.6161  | 10.833      | 0.0285    || 0.059           | 3.0
300       | 7.3359    | 0.0805   | 42.2984  | 7.4164      | 0.0257    || 0.076           | 2.6
400       | 5.0436    | 0.0805   | 20.1263  | 5.1241      | 0.0279    || 0.066           | 0.9
500       | 2.7455    | 0.0805   | 0.2989   | 2.826       | 0.0145    || 0.055           | 0.4
600       | 2.0163    | 0.0805   | 0.0382   | 2.0968      | 0.0142    || 0.038           | 0.3
700       | 2.0172    | 0.0805   | 0.0382   | 2.0977      | 0.015     || 0.04            | 0.2
800       | 2.0235    | 0.0805   | 0.0382   | 2.104       | 0.0137    || 0.036           | 0.2
900       | 2.0235    | 0.0805   | 0.0382   | 2.104       | 0.0128    || 0.032           | 0.2
1000      | 2.0235    | 0.0805   | 0.0382   | 2.104       | 0.0107    || 0.026           | 0.2
1100      | 2.0235    | 0.0805   | 0.0382   | 2.104       | 0.0103    || 0.022           | 0.2
1200      | 6.0704    | 0.2416   | 0.1146   | 6.312       | 0.0264    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 2.0235    | 0.0805   | 0.0382   | 2.104       | 0.0061    || 0.013           | 0.2
