Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 16.4041   | 0.256    | 14.6529  | 16.6601  | 0.0165
125       | 17.146    | 0.4609   | 33.9027  | 17.6069  | 0.0162
200       | 15.3335   | 0.3408   | 11.2222  | 15.6743  | 0.0064
250       | 6.8202    | 0.0      | 20.4407  | 6.8202   | 0.2609
300       | 5.014     | 0.0      | 30.4133  | 5.014    | 0.27
400       | 4.163     | 0.0      | 10.4742  | 4.163    | 0.065
500       | 1.3296    | 0.0      | 0.2607   | 1.3296   | 0.0335
600       | 0.648     | 0.0      | 0.0      | 0.648    | 0.0093
700       | 0.6489    | 0.0      | 0.0      | 0.6489   | 0.0545
800       | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0354
900       | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0235
1000      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0142
1100      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.1014
1200      | 1.9655    | 0.0      | 0.0      | 1.9655   | 0.2041
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.019
600       | 0.648     | 0.0      | 0.0      | 0.648    | 0.0093
700       | 0.6489    | 0.0      | 0.0      | 0.6489   | 0.0545
800       | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0354
900       | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0235
1000      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.0142
1100      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.1014
1200      | 1.9655    | 0.0      | 0.0      | 1.9655   | 0.2041
1500      | 0.6552    | 0.0      | 0.0      | 0.6552   | 0.019
