Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 19.9288   | 0.3428   | 121.5187 | 20.2716  | 0.0174
125       | 25.441    | 20.8644  | 126.3083 | 46.3054  | 0.0173
200       | 27.1933   | 0.8812   | 127.725  | 28.0745  | 0.0071
250       | 14.8429   | 0.3502   | 47.5013  | 15.1931  | 0.2905
300       | 10.3267   | 0.2656   | 66.9965  | 10.5923  | 0.2996
400       | 7.8062    | 0.2656   | 31.9823  | 8.0718   | 0.0731
500       | 3.6952    | 0.0805   | 14.0663  | 3.7757   | 0.0387
600       | 4.7237    | 0.0805   | 7.5406   | 4.8042   | 0.011
700       | 4.7246    | 0.0805   | 7.5406   | 4.8051   | 0.0662
800       | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.043
900       | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0279
1000      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0174
1100      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.1297
1200      | 14.1927   | 0.2416   | 22.6219  | 14.4343  | 0.2604
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0253
600       | 4.7237    | 0.0805   | 7.5406   | 4.8042   | 0.011
700       | 4.7246    | 0.0805   | 7.5406   | 4.8051   | 0.0662
800       | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.043
900       | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0279
1000      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0174
1100      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.1297
1200      | 14.1927   | 0.2416   | 22.6219  | 14.4343  | 0.2604
1500      | 4.7309    | 0.0805   | 7.5406   | 4.8114   | 0.0253
