Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 14.3621   | 0.7795   | 44.8634  | 15.1416     | 0.0005    || 5e-05           | 1.0
125       | 10.0957   | 0.4503   | 3.0482   | 10.546      | 0.0019    || 0.0004          | 0.8
200       | 10.4156   | 0.4248   | 41.5514  | 10.8404     | 0.0073    || 0.006           | 1.3
250       | 10.0652   | 0.412    | 3.2459   | 10.4772     | 0.0148    || 0.022           | 0.3
300       | 10.1173   | 0.3271   | 0.3079   | 10.4444     | 0.0133    || 0.035           | 0.4
400       | 7.9875    | 0.3271   | 0.0      | 8.3146      | 0.0428    || 0.091           | 0.5
500       | 5.2286    | 0.1728   | 0.2314   | 5.4014      | 0.0329    || 0.143           | 0.8
600       | 2.6697    | 0.2565   | 0.1824   | 2.9262      | 0.0782    || 0.174           | 0.7
700       | 1.7235    | 0.0864   | 0.1824   | 1.8099      | 0.0918    || 0.194           | 0.8
800       | 1.2749    | 0.0864   | 0.0875   | 1.3613      | 0.0927    || 0.208           | 0.4
900       | 2.0687    | 0.0      | 0.0      | 2.0687      | 0.0878    || 0.192           | 0.2
1000      | 1.9671    | 0.0      | 0.0      | 1.9671      | 0.1006    || 0.215           | 0.1
1100      | 0.7153    | 0.0      | 0.0      | 0.7153      | 0.0918    || 0.203           | 0.1
1200      | 0.6129    | 0.0      | 0.0      | 0.6129      | 0.0944    || 0.208           | 0.2
1300      | 0.5655    | 0.0      | 0.0      | 0.5655      | 0.0966    || 0.205           | 0.3
1400      | 0.5367    | 0.0      | 0.0      | 0.5367      | 0.0961    || 0.196           | 0.1
1500      | 0.4953    | 0.0      | 0.0      | 0.4953      | 0.0989    || 0.195           | 0.1
