Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 10974.7791| 30.231   | 0.0      | 11005.0101| 0.0179
125       | 12183.0123| 27.1494  | 0.0121   | 12210.1617| 0.0175
200       | 8182.9227 | 43.2413  | 0.0253   | 8226.164 | 0.0074
250       | 1721.7142 | 15.3011  | 0.011    | 1737.0153| 0.3025
300       | 1687.848  | 12.79    | 0.0182   | 1700.638 | 0.3105
400       | 752.4712  | 5.597    | 0.0062   | 758.0682 | 0.0768
500       | 437.5462  | 2.1956   | 0.0      | 439.7418 | 0.0407
600       | 258.8143  | 1.1698   | 0.0      | 259.9841 | 0.012
700       | 266.0156  | 1.1698   | 0.0      | 267.1854 | 0.0717
800       | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0462
900       | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0299
1000      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0177
1100      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.1399
1200      | 782.9132  | 3.5095   | 0.0      | 786.4227 | 0.2754
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0267
600       | 258.8143  | 1.1698   | 0.0      | 259.9841 | 0.012
700       | 266.0156  | 1.1698   | 0.0      | 267.1854 | 0.0717
800       | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0462
900       | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0299
1000      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0177
1100      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.1399
1200      | 782.9132  | 3.5095   | 0.0      | 786.4227 | 0.2754
1500      | 260.9711  | 1.1698   | 0.0      | 262.1409 | 0.0267
