Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 14.5745   | 8.4637   | 0.0      | 23.0382     | 0.0246    || 0.026           | 20.3
125       | 7.689     | 5.204    | 0.0      | 12.893      | 0.038     || 0.051           | 17.7
200       | 4.9318    | 0.0      | 0.0      | 4.9318      | 0.073     || 0.081           | 12.4
250       | 4.3758    | 0.2532   | 0.0      | 4.629       | 0.0701    || 0.11            | 6.0
300       | 3.9622    | 0.1672   | 0.0      | 4.1294      | 0.0811    || 0.132           | 8.2
400       | 2.4041    | 0.0201   | 0.0      | 2.4242      | 0.0622    || 0.117           | 2.5
500       | 1.7806    | 0.0      | 0.0      | 1.7806      | 0.0346    || 0.086           | 1.5
600       | 0.475     | 0.087    | 0.0      | 0.562       | 0.0311    || 0.074           | 0.9
700       | 0.2704    | 0.0      | 0.0      | 0.2704      | 0.0235    || 0.067           | 1.7
800       | 0.2704    | 0.0      | 0.0      | 0.2704      | 0.0249    || 0.06            | 1.7
900       | 0.276     | 0.0      | 0.0      | 0.276       | 0.0216    || 0.054           | 1.7
1000      | 0.276     | 0.0      | 0.0      | 0.276       | 0.0198    || 0.046           | 1.7
1100      | 0.4314    | 0.0732   | 0.0      | 0.5046      | 0.0217    || 0.041           | 1.7
1200      | 0.276     | 0.0      | 0.0      | 0.276       | 0.0169    || 0.036           | 1.7
1300      | 0.276     | 0.0      | 0.0      | 0.276       | 0.0138    || 0.032           | 1.7
1400      | 0.276     | 0.0      | 0.0      | 0.276       | 0.0139    || 0.027           | 1.7
1500      | 0.4314    | 0.0732   | 0.0      | 0.5046      | 0.0141    || 0.025           | 1.7
