Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 1814.7678 | 22.8334  | 0.0      | 1837.6012| 0.0016
125       | 1224.1445 | 23.3429  | 0.0      | 1247.4874| 0.0038
200       | 1380.9425 | 28.1838  | 0.0      | 1409.1263| 0.0026
250       | 963.6959  | 20.818   | 0.0      | 984.5139 | 0.1932
300       | 1316.0602 | 21.1847  | 0.0      | 1337.2449| 0.1654
400       | 910.6906  | 15.6497  | 0.0      | 926.3403 | 0.1275
500       | 806.9437  | 12.6702  | 0.0      | 819.6139 | 0.1065
600       | 990.6679  | 10.0223  | 0.0      | 1000.6902| 0.0949
700       | 774.9459  | 6.8736   | 0.0      | 781.8195 | 0.6198
800       | 422.1344  | 4.0182   | 0.0      | 426.1526 | 0.4163
900       | 310.1592  | 2.2736   | 0.0      | 312.4328 | 0.3171
1000      | 216.9541  | 1.6538   | 0.0      | 218.6079 | 0.2349
1100      | 118.0272  | 1.5717   | 0.0      | 119.5989 | 1.8773
1200      | 81.1653   | 1.2477   | 0.0      | 82.413   | 1.3352
1300      | 65.8227   | 0.7023   | 0.0      | 66.525   | 1.0206
1400      | 16.9471   | 0.3755   | 0.0      | 17.3226  | 0.8206
1500      | 16.5102   | 0.242    | 0.0      | 16.7522  | 0.695
600       | 990.6679  | 10.0223  | 0.0      | 1000.6902| 0.0949
700       | 774.9459  | 6.8736   | 0.0      | 781.8195 | 0.6198
800       | 422.1344  | 4.0182   | 0.0      | 426.1526 | 0.4163
900       | 310.1592  | 2.2736   | 0.0      | 312.4328 | 0.3171
1000      | 216.9541  | 1.6538   | 0.0      | 218.6079 | 0.2349
1100      | 118.0272  | 1.5717   | 0.0      | 119.5989 | 1.8773
1200      | 81.1653   | 1.2477   | 0.0      | 82.413   | 1.3352
1500      | 16.5102   | 0.242    | 0.0      | 16.7522  | 0.695
