Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 18.1928   | 1.2946   | 1.0765   | 19.4874     | 0.003     || 0.011           | 18.6
125       | 29.6889   | 1.3929   | 9.2678   | 31.0818     | 0.0095    || 0.026           | 11.7
200       | 26.2533   | 1.3083   | 19.8591  | 27.5616     | 0.0279    || 0.049           | 4.6
250       | 7.781     | 0.4038   | 7.7815   | 8.1848      | 0.027     || 0.059           | 3.0
300       | 8.8323    | 0.0      | 9.6669   | 8.8323      | 0.0245    || 0.076           | 2.6
400       | 4.703     | 0.0      | 4.8632   | 4.703       | 0.0263    || 0.066           | 0.9
500       | 5.7963    | 0.0      | 0.0      | 5.7963      | 0.0136    || 0.055           | 0.4
600       | 0.9426    | 0.0      | 0.0457   | 0.9426      | 0.0127    || 0.038           | 0.3
700       | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.0133    || 0.04            | 0.2
800       | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.0121    || 0.036           | 0.2
900       | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.0114    || 0.032           | 0.2
1000      | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.0096    || 0.026           | 0.2
1100      | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.0086    || 0.022           | 0.2
1200      | 2.8279    | 0.0      | 0.0      | 2.8279      | 0.0227    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 0.9426    | 0.0      | 0.0      | 0.9426      | 0.005     || 0.013           | 0.2
