Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 22.5386   | 1.4303   | 10.2123  | 23.9689     | 0.0031    || 0.011           | 18.6
125       | 36.3583   | 1.4961   | 21.6916  | 37.8544     | 0.0098    || 0.026           | 11.7
200       | 34.3022   | 1.4115   | 21.0827  | 35.7137     | 0.0293    || 0.049           | 4.6
250       | 8.8759    | 0.4038   | 15.2701  | 9.2797      | 0.0285    || 0.059           | 3.0
300       | 10.4344   | 0.0      | 10.9188  | 10.4344     | 0.0257    || 0.076           | 2.6
400       | 6.0706    | 0.0      | 6.7637   | 6.0706      | 0.0279    || 0.066           | 0.9
500       | 6.1319    | 0.0      | 0.1866   | 6.1319      | 0.0145    || 0.055           | 0.4
600       | 2.321     | 0.0      | 0.1085   | 2.321       | 0.0142    || 0.038           | 0.3
700       | 2.321     | 0.0      | 0.0      | 2.321       | 0.015     || 0.04            | 0.2
800       | 2.321     | 0.0      | 0.0      | 2.321       | 0.0137    || 0.036           | 0.2
900       | 2.321     | 0.0      | 0.0      | 2.321       | 0.0128    || 0.032           | 0.2
1000      | 2.321     | 0.0      | 0.0      | 2.321       | 0.0107    || 0.026           | 0.2
1100      | 2.321     | 0.0      | 0.0      | 2.321       | 0.0103    || 0.022           | 0.2
1200      | 6.9629    | 0.0      | 0.0      | 6.9629      | 0.0264    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 2.321     | 0.0      | 0.0      | 2.321       | 0.0061    || 0.013           | 0.2
