Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 19.1581   | 3.5729   | 5.0698   | 22.731      | 0.0005    || 5e-05           | 1.0
125       | 11.363    | 1.3506   | 3.1901   | 12.7136     | 0.0019    || 0.0004          | 0.8
200       | 13.074    | 1.0822   | 4.9335   | 14.1562     | 0.0073    || 0.006           | 1.3
250       | 13.1715   | 0.3937   | 4.7946   | 13.5652     | 0.0148    || 0.022           | 0.3
300       | 10.928    | 0.3783   | 2.2819   | 11.3063     | 0.0133    || 0.035           | 0.4
400       | 12.8375   | 0.3783   | 0.4119   | 13.2158     | 0.0428    || 0.091           | 0.5
500       | 10.3663   | 0.0      | 0.0      | 10.3663     | 0.0329    || 0.143           | 0.8
600       | 1.9119    | 0.0      | 3.1086   | 1.9119      | 0.0782    || 0.174           | 0.7
700       | 0.1279    | 0.0      | 4.4602   | 0.1279      | 0.0918    || 0.194           | 0.8
800       | 3.0476    | 0.0      | 4.4602   | 3.0476      | 0.0927    || 0.208           | 0.4
900       | 3.7569    | 0.0      | 4.4255   | 3.7569      | 0.0878    || 0.192           | 0.2
1000      | 3.1595    | 0.0      | 3.311    | 3.1595      | 0.1006    || 0.215           | 0.1
1100      | 2.7064    | 0.0      | 1.441    | 2.7064      | 0.0918    || 0.203           | 0.1
1200      | 2.6791    | 0.0      | 1.441    | 2.6791      | 0.0944    || 0.208           | 0.2
1300      | 2.6763    | 0.0      | 1.441    | 2.6763      | 0.0966    || 0.205           | 0.3
1400      | 1.2497    | 0.0      | 1.441    | 1.2497      | 0.0961    || 0.196           | 0.1
1500      | 1.2497    | 0.0      | 1.441    | 1.2497      | 0.0989    || 0.195           | 0.1
