Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 29.9953   | 3.548    | 9.025    | 33.5433     | 0.0003    || 5e-05           | 1.0
125       | 17.6861   | 1.7591   | 4.832    | 19.4452     | 0.0017    || 0.0004          | 0.8
200       | 21.8032   | 1.008    | 6.8036   | 22.8112     | 0.007     || 0.006           | 1.3
250       | 18.9603   | 1.2019   | 6.7743   | 20.1622     | 0.015     || 0.022           | 0.3
300       | 14.4957   | 1.3704   | 4.189    | 15.8661     | 0.0135    || 0.035           | 0.4
400       | 18.4505   | 1.5577   | 0.9723   | 20.0082     | 0.0433    || 0.091           | 0.5
500       | 20.6365   | 0.41     | 0.0      | 21.0465     | 0.0337    || 0.143           | 0.8
600       | 10.8256   | 0.0067   | 2.1896   | 10.8323     | 0.0843    || 0.174           | 0.7
700       | 6.6703    | 0.0067   | 1.4737   | 6.677       | 0.0981    || 0.194           | 0.8
800       | 3.0017    | 0.0067   | 3.0779   | 3.0084      | 0.1024    || 0.208           | 0.4
900       | 3.9109    | 0.0067   | 1.4772   | 3.9176      | 0.0981    || 0.192           | 0.2
1000      | 3.3013    | 0.0      | 1.4772   | 3.3013      | 0.1125    || 0.215           | 0.1
1100      | 2.7468    | 0.0      | 1.4772   | 2.7468      | 0.1037    || 0.203           | 0.1
1200      | 2.7075    | 0.0      | 1.4772   | 2.7075      | 0.1091    || 0.208           | 0.2
1300      | 2.6949    | 0.0      | 1.4772   | 2.6949      | 0.113     || 0.205           | 0.3
1400      | 1.263     | 0.0      | 1.4772   | 1.263       | 0.1144    || 0.196           | 0.1
1500      | 1.2558    | 0.0      | 1.4772   | 1.2558      | 0.1198    || 0.195           | 0.1
