Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 11.327    | 7.5578   | 0.0      | 18.8848     | 0.0246    || 0.026           | 20.3
125       | 9.7438    | 4.3197   | 0.0      | 14.0635     | 0.038     || 0.051           | 17.7
200       | 3.7072    | 5.2427   | 0.0      | 8.9499      | 0.073     || 0.081           | 12.4
250       | 2.6816    | 3.987    | 0.0      | 6.6686      | 0.0701    || 0.11            | 6.0
300       | 2.542     | 1.4327   | 0.0      | 3.9747      | 0.0811    || 0.132           | 8.2
400       | 0.4786    | 0.0      | 0.0      | 0.4786      | 0.0622    || 0.117           | 2.5
500       | 0.262     | 0.0      | 0.0      | 0.262       | 0.0346    || 0.086           | 1.5
600       | 0.2157    | 0.0756   | 0.0      | 0.2913      | 0.0311    || 0.074           | 0.9
700       | 0.1184    | 0.0756   | 0.0      | 0.194       | 0.0235    || 0.067           | 1.7
800       | 0.1184    | 0.0756   | 0.0      | 0.194       | 0.0249    || 0.06            | 1.7
900       | 0.1206    | 0.0756   | 0.0      | 0.1962      | 0.0216    || 0.054           | 1.7
1000      | 0.1206    | 0.0756   | 0.0      | 0.1962      | 0.0198    || 0.046           | 1.7
1100      | 0.1851    | 0.0756   | 0.0      | 0.2607      | 0.0217    || 0.041           | 1.7
1200      | 0.1206    | 0.0756   | 0.0      | 0.1962      | 0.0169    || 0.036           | 1.7
1300      | 0.1206    | 0.0756   | 0.0      | 0.1962      | 0.0138    || 0.032           | 1.7
1400      | 0.1206    | 0.0756   | 0.0      | 0.1962      | 0.0139    || 0.027           | 1.7
1500      | 0.1851    | 0.0756   | 0.0      | 0.2607      | 0.0141    || 0.025           | 1.7
