Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 6.8996    | 0.5741   | 0.0      | 7.4737   | 0.0467
125       | 6.98      | 0.7865   | 0.0      | 7.7665   | 0.0333
200       | 2.6985    | 0.882    | 0.0      | 3.5805   | 0.0113
250       | 2.4586    | 0.0311   | 0.0      | 2.4897   | 0.5604
300       | 2.3111    | 0.0      | 0.0      | 2.3111   | 0.3586
400       | 0.3366    | 0.0      | 0.0      | 0.3366   | 0.1115
500       | 0.1982    | 0.0      | 0.0      | 0.1982   | 0.0624
600       | 0.1268    | 0.0      | 0.0      | 0.1268   | 0.0183
700       | 0.0745    | 0.0      | 0.0      | 0.0745   | 0.0767
800       | 0.0745    | 0.0      | 0.0      | 0.0745   | 0.0515
900       | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0336
1000      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0217
1100      | 0.1354    | 0.0      | 0.0      | 0.1354   | 0.1827
1200      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0983
1300      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0592
1400      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.054
1500      | 0.1354    | 0.0      | 0.0      | 0.1354   | 0.0413
600       | 0.1268    | 0.0      | 0.0      | 0.1268   | 0.0183
700       | 0.0745    | 0.0      | 0.0      | 0.0745   | 0.0767
800       | 0.0745    | 0.0      | 0.0      | 0.0745   | 0.0515
900       | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0336
1000      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0217
1100      | 0.1354    | 0.0      | 0.0      | 0.1354   | 0.1827
1200      | 0.0767    | 0.0      | 0.0      | 0.0767   | 0.0983
1500      | 0.1354    | 0.0      | 0.0      | 0.1354   | 0.0413
