Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 11.327    | 7.5578   | 0.0      | 18.8848  | 0.0641
125       | 9.7438    | 4.3197   | 0.0      | 14.0635  | 0.0419
200       | 3.7072    | 5.2427   | 0.0      | 8.9499   | 0.0134
250       | 2.6816    | 3.987    | 0.0      | 6.6686   | 0.6541
300       | 2.542     | 1.4327   | 0.0      | 3.9747   | 0.4177
400       | 0.4786    | 0.0      | 0.0      | 0.4786   | 0.1283
500       | 0.262     | 0.0      | 0.0      | 0.262    | 0.0714
600       | 0.2157    | 0.0756   | 0.0      | 0.2913   | 0.0206
700       | 0.1184    | 0.0756   | 0.0      | 0.194    | 0.0881
800       | 0.1184    | 0.0756   | 0.0      | 0.194    | 0.0618
900       | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0389
1000      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0254
1100      | 0.1851    | 0.0756   | 0.0      | 0.2607   | 0.2139
1200      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.1162
1300      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0715
1400      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0612
1500      | 0.1851    | 0.0756   | 0.0      | 0.2607   | 0.0488
600       | 0.2157    | 0.0756   | 0.0      | 0.2913   | 0.0206
700       | 0.1184    | 0.0756   | 0.0      | 0.194    | 0.0881
800       | 0.1184    | 0.0756   | 0.0      | 0.194    | 0.0618
900       | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0389
1000      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.0254
1100      | 0.1851    | 0.0756   | 0.0      | 0.2607   | 0.2139
1200      | 0.1206    | 0.0756   | 0.0      | 0.1962   | 0.1162
1500      | 0.1851    | 0.0756   | 0.0      | 0.2607   | 0.0488
