Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 28.1694   | 0.649    | 0.0      | 28.8184     | 0.0031    || 0.011           | 18.6
125       | 42.3191   | 1.2227   | 2.2854   | 43.5418     | 0.0102    || 0.026           | 11.7
200       | 31.2417   | 1.4205   | 0.0      | 32.6622     | 0.0303    || 0.049           | 4.6
250       | 17.586    | 0.26     | 0.0      | 17.846      | 0.0282    || 0.059           | 3.0
300       | 25.0619   | 0.1095   | 0.0      | 25.1714     | 0.0252    || 0.076           | 2.6
400       | 13.849    | 0.0      | 5.4393   | 13.849      | 0.0267    || 0.066           | 0.9
500       | 5.5561    | 0.0      | 0.0842   | 5.5561      | 0.0138    || 0.055           | 0.4
600       | 2.8548    | 0.0757   | 2.9483   | 2.9305      | 0.0131    || 0.038           | 0.3
700       | 2.8886    | 0.0757   | 2.9483   | 2.9643      | 0.0138    || 0.04            | 0.2
800       | 2.8995    | 0.0757   | 0.0      | 2.9752      | 0.0125    || 0.036           | 0.2
900       | 2.8995    | 0.0757   | 0.0      | 2.9752      | 0.0117    || 0.032           | 0.2
1000      | 2.8995    | 0.0757   | 0.0      | 2.9752      | 0.0099    || 0.026           | 0.2
1100      | 2.8995    | 0.0757   | 0.0      | 2.9752      | 0.0083    || 0.022           | 0.2
1200      | 8.6986    | 0.2271   | 0.0      | 8.9257      | 0.0235    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 2.8995    | 0.0757   | 0.0      | 2.9752      | 0.0052    || 0.013           | 0.2
