Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 44.3339   | 1.4802   | 22.9613  | 45.8141     | 0.0032    || 0.011           | 18.6
125       | 74.02     | 2.0203   | 32.0436  | 76.0403     | 0.0102    || 0.026           | 11.7
200       | 64.4389   | 2.29     | 39.1301  | 66.7289     | 0.0308    || 0.049           | 4.6
250       | 24.5109   | 0.4513   | 12.3185  | 24.9622     | 0.0301    || 0.059           | 3.0
300       | 39.3543   | 0.3768   | 19.8534  | 39.7311     | 0.0272    || 0.076           | 2.6
400       | 34.5488   | 0.1614   | 23.9227  | 34.7102     | 0.0296    || 0.066           | 0.9
500       | 19.8179   | 0.0      | 30.3085  | 19.8179     | 0.0157    || 0.055           | 0.4
600       | 14.3397   | 0.0786   | 17.9638  | 14.4183     | 0.015     || 0.038           | 0.3
700       | 14.4576   | 0.0786   | 22.5304  | 14.5362     | 0.0161    || 0.04            | 0.2
800       | 14.4685   | 0.0786   | 19.3967  | 14.5471     | 0.0147    || 0.036           | 0.2
900       | 14.4685   | 0.0786   | 19.3967  | 14.5471     | 0.0135    || 0.032           | 0.2
1000      | 14.4685   | 0.0786   | 19.3967  | 14.5471     | 0.0117    || 0.026           | 0.2
1100      | 14.4685   | 0.0786   | 19.3967  | 14.5471     | 0.011     || 0.022           | 0.2
1200      | 43.4382   | 0.2357   | 58.19    | 43.6739     | 0.029     || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 14.4794   | 0.0786   | 19.3967  | 14.558      | 0.0067    || 0.013           | 0.2
