Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 38.0286   | 3.2472   | 9.5232   | 41.2758     | 0.0005    || 5e-05           | 1.0
125       | 16.9135   | 2.0991   | 0.4898   | 19.0126     | 0.0019    || 0.0004          | 0.8
200       | 22.3782   | 2.0934   | 3.6411   | 24.4716     | 0.0073    || 0.006           | 1.3
250       | 21.6119   | 1.6156   | 3.6411   | 23.2275     | 0.0148    || 0.022           | 0.3
300       | 22.0993   | 1.258    | 3.6411   | 23.3573     | 0.0133    || 0.035           | 0.4
400       | 18.6168   | 0.9797   | 3.6411   | 19.5965     | 0.0428    || 0.091           | 0.5
500       | 14.097    | 0.5849   | 3.503    | 14.6819     | 0.0329    || 0.143           | 0.8
600       | 8.4906    | 0.6826   | 3.3309   | 9.1732      | 0.0782    || 0.174           | 0.7
700       | 7.4768    | 0.4562   | 3.3309   | 7.933       | 0.0918    || 0.194           | 0.8
800       | -1.0475   | 0.1619   | 3.3309   | -0.8856     | 0.0927    || 0.208           | 0.4
900       | 0.3263    | 0.0849   | 3.3309   | 0.4112      | 0.0878    || 0.192           | 0.2
1000      | -1.4318   | 0.0849   | 3.3309   | -1.3469     | 0.1006    || 0.215           | 0.1
1100      | -1.7355   | 0.0849   | 3.2768   | -1.6506     | 0.0918    || 0.203           | 0.1
1200      | -1.7844   | 0.0849   | 3.2768   | -1.6995     | 0.0944    || 0.208           | 0.2
1300      | -0.0182   | 0.0849   | 3.2768   | 0.0667      | 0.0966    || 0.205           | 0.3
1400      | -0.0684   | 0.0849   | 0.0      | 0.0165      | 0.0961    || 0.196           | 0.1
1500      | 0.0138    | 0.0849   | 0.0      | 0.0987      | 0.0989    || 0.195           | 0.1
