Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 5.9115    | 1.097    | 0.0      | 7.0085      | 0.018     || 0.026           | 20.3
125       | 4.405     | 0.8689   | 0.0      | 5.2739      | 0.0302    || 0.051           | 17.7
200       | 3.4467    | 0.3156   | 0.0      | 3.7623      | 0.0615    || 0.081           | 12.4
250       | 2.9595    | 0.1052   | 0.0      | 3.0647      | 0.0601    || 0.11            | 6.0
300       | 1.4881    | 0.1145   | 0.0      | 1.6026      | 0.0696    || 0.132           | 8.2
400       | 0.7704    | 0.0807   | 0.0      | 0.8511      | 0.054     || 0.117           | 2.5
500       | 0.6423    | 0.0807   | 0.0      | 0.723       | 0.0302    || 0.086           | 1.5
600       | 0.6382    | 0.0735   | 0.0      | 0.7117      | 0.0276    || 0.074           | 0.9
700       | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0205    || 0.067           | 1.7
800       | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0207    || 0.06            | 1.7
900       | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0186    || 0.054           | 1.7
1000      | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0169    || 0.046           | 1.7
1100      | 0.5252    | 0.0      | 0.0      | 0.5252      | 0.0185    || 0.041           | 1.7
1200      | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0143    || 0.036           | 1.7
1300      | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0114    || 0.032           | 1.7
1400      | 0.4984    | 0.0      | 0.0      | 0.4984      | 0.0123    || 0.027           | 1.7
1500      | 0.5252    | 0.0      | 0.0      | 0.5252      | 0.012     || 0.025           | 1.7
