100	10.2817	10.2817	14.6543	6.6108	24.0569 3.8438
125	13.4618	13.4618	22.6758	8.4327	33.9118	4.8438
200	27.9165	27.9165	43.6124	18.6036	71.7225	10.
250	3.9145	3.9145	6.2255	2.7125	9.6767	2
300	3.9759	3.9759	6.3101	2.7102	10.1918	1.9531
400	9.4287	9.4287	14.3766	6.5817	24.3041	4.5730
500	9.3514	9.3514	16.0404	6.1232	26.2327	5
600	11.8744	11.8744	18.4079	7.7889	29.2482	4.8438
700	1.7029	1.7029	2.6068	1.1361	4.0562	1
800	1.7206	1.7206	2.6611	1.2328	4.2403	1
900	2.4950	2.4950	3.7236	1.8186	5.5945	1.7436
1000	2.9362	2.9362	4.0695	2.2356	6.2236	2.0621
1100	0.3571	0.3571	0.3658	0.3432	0.4769	0.3906
1200	0.4631	0.4631	0.4755	0.4346	0.4400	0.4168
1500	0.8475	0.8475	1.0241	0.8013	1.5833	0.7200
1700	1.4071	1.4071	1.8316	1.3752	2.6630	1.3265
2000	2.3991	2.3991	3.1696	2.2765	4.5006	1.9387
