100	1.7725	1.7725	1.7725	1.7725	1.7725	1.7725
125	2.1404	2.1404	2.1404	2.1404	2.1404	2.1404
200	5.5656	5.5656	5.5656	5.5656	5.5656	5.5656
250	1.0735	1.0735	1.0735	1.0735	1.0735	1.0735
300	1.5864	1.5864	1.5864	1.5864	1.5864	1.5864
400	3.1929	3.1929	3.1929	3.1929	3.1929	3.1929
500	4.7439	4.7439	4.7439	4.7439	4.7439	4.7439
600	5.3424	5.3424	5.3424	5.3424	5.3424	5.3424
700	0.6031	0.6031	0.6031	0.6031	0.6031	0.6031
800	0.9592	0.9592	0.9592	0.9592	0.9592	0.9592
900	0.9153	0.9153	0.9153	0.9153	0.9153	0.9153
1000	1.4332	1.4332	1.4332	1.4332	1.4332	1.4332
1100	0.1733	0.1733	0.1733	0.1733	0.1733	0.1733
1200	0.2263	0.2263	0.2263	0.2263	0.2263	0.2263
1500	0.3803	0.3803	0.3803	0.3803	0.3803	0.3803
1700	0.6383	0.6383	0.6383	0.6383	0.6383	0.6383
2000	1.1559	1.1559	1.1559	1.1559	1.1559	1.1559
