100	1.3533	1.3533	1.3533	1.3533	1.3533	1.3533
125	1.9670	1.9670	1.9670	1.9670	1.9670	1.9670
200	6.0512	6.0512	6.0512	6.0512	6.0512	6.0512
250	1.1171	1.1171	1.1171	1.1171	1.1171	1.1171
300	1.0411	1.0411	1.0411	1.0411	1.0411	1.0411
400	2.3012	2.3012	2.3012	2.3012	2.3012	2.3012
500	3.9156	3.9156	3.9156	3.9156	3.9156	3.9156
600	3.5681	3.5681	3.5681	3.5681	3.5681	3.5681
700	0.3299	0.3299	0.3299	0.3299	0.3299	0.3299
800	0.3098	0.3098	0.3098	0.3098	0.3098	0.3098
900	0.6082	0.6082	0.6082	0.6082	0.6082	0.6082
1000	0.6093	0.6093	0.6093	0.6093	0.6093	0.6093
1100	--	--	--	--	--	--
1200	0.1277	0.1277	0.1277	0.1277	0.1277	0.1277
1500	0.1988	0.1988	0.1988	0.1988	0.1988	0.1988
1700	0.3467	0.3467	0.3467	0.3467	0.3467	0.3467
2000	0.5896	0.5896	0.5896	0.5896	0.5896	0.5896
