100	0.0488	0.0488	0.0683	0.0351	0.0918	0.0263
200	0.1011	0.1011	0.1450	0.0711	0.2002	0.0525
300						
400	0.0337	0.0337	0.0503	0.0233	0.0719	0.0171
500						
600	0.2188	0.2188	0.3234	0.1509	0.4609	0.1102
700	0.0171	0.0171	0.0250	0.0113	0.0364	0.0083
800	0.0259	0.0259	0.0395	0.0180	0.0570	0.0125
900	0.0708	0.0708	0.1089	0.0473	0.1617	0.0337
1000	0.1011	0.1011	0.1571	0.0667	0.2357	0.0474
1100	0.0679	0.0679	0.1079	0.0438	0.1648	0.0302
1200	0.0996	0.0996	0.1600	0.0638	0.2459	0.0444
1500	0.4434	0.4434	0.7544	0.2683	1.2183	0.1767
