MuMu_2016postVFP_SR1 Bin (SR1_MNbin2     ): Content = 7.488     , Error = 0.069 , Error Perc. =0.921
MuMu_2016postVFP_SR3 Bin (SR3_bin16      ): Content = 1.02      , Error = 0.022 , Error Perc. =2.157
MuMu_2016postVFP_SR2 Bin (SR2_HTLTbin1   ): Content = 0.245     , Error = 0.014 , Error Perc. =5.714
MuMu_2016postVFP_SR2 Bin (SR2_HTLTbin3   ): Content = 0.18      , Error = 0.012 , Error Perc. =6.667
MuMu_2016postVFP_SR3 Bin (SR3_bin3       ): Content = 0.178     , Error = 0.008 , Error Perc. =4.494
MuMu_2016postVFP_SR3 Bin (SR3_bin20      ): Content = 0.165     , Error = 0.009 , Error Perc. =5.455
MuMu_2016postVFP_SR3 Bin (SR3_bin6       ): Content = 0.152     , Error = 0.008 , Error Perc. =5.263
MuMu_2016postVFP_SR3 Bin (SR3_bin15      ): Content = 0.126     , Error = 0.009 , Error Perc. =7.143
MuMu_2016postVFP_SR3 Bin (SR3_bin14      ): Content = 0.071     , Error = 0.007 , Error Perc. =9.859
MuMu_2016postVFP_SR3 Bin (SR3_bin9       ): Content = 0.055     , Error = 0.005 , Error Perc. =9.091
MuMu_2016postVFP_SR2 Bin (SR2_HTLTbin2   ): Content = 0.041     , Error = 0.006 , Error Perc. =14.634
MuMu_2016postVFP_SR3 Bin (SR3_bin13      ): Content = 0.026     , Error = 0.004 , Error Perc. =15.385
MuMu_2016postVFP_SR3 Bin (SR3_bin19      ): Content = 0.015     , Error = 0.003 , Error Perc. =20.0
MuMu_2016postVFP_SR1 Bin (SR1_MNbin1     ): Content = 0.013     , Error = 0.004 , Error Perc. =30.769
MuMu_2016postVFP_SR2 Bin (SR2_HTLTbin4   ): Content = 0.009     , Error = 0.004 , Error Perc. =44.444
MuMu_2016postVFP_SR3 Bin (SR3_bin5       ): Content = 0.006     , Error = 0.002 , Error Perc. =33.333
MuMu_2016postVFP_SR3 Bin (SR3_bin12      ): Content = 0.006     , Error = 0.002 , Error Perc. =33.333
MuMu_2016postVFP_SR3 Bin (SR3_bin18      ): Content = 0.004     , Error = 0.001 , Error Perc. =25.0
MuMu_2016postVFP_SR3 Bin (SR3_bin2       ): Content = 0.003     , Error = 0.001 , Error Perc. =33.333
MuMu_2016postVFP_SR3 Bin (SR3_bin10      ): Content = 0.003     , Error = 0.001 , Error Perc. =33.333
MuMu_2016postVFP_SR2 Bin (SR2_HTLTbin5   ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2016postVFP_SR3 Bin (SR3_bin7       ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2016postVFP_SR3 Bin (SR3_bin8       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016postVFP_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016postVFP_SR3 Bin (SR3_bin4       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016postVFP_SR3 Bin (SR3_bin11      ): Content = 0.0       , Error = 0.001 , Error Perc. =0.0
MuMu_2016postVFP_SR3 Bin (SR3_bin17      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
