EMu_2018_SR2 Bin (SR2_HTLTbin1   ): Content = 15.705    , Error = 0.104 , Error Perc. =0.662
EMu_2018_SR3 Bin (SR3_bin6       ): Content = 8.074     , Error = 0.077 , Error Perc. =0.954
EMu_2018_SR3 Bin (SR3_bin19      ): Content = 2.245     , Error = 0.043 , Error Perc. =1.915
EMu_2018_SR3 Bin (SR3_bin14      ): Content = 0.739     , Error = 0.024 , Error Perc. =3.248
EMu_2018_SR2 Bin (SR2_HTLTbin4   ): Content = 0.27      , Error = 0.014 , Error Perc. =5.185
EMu_2018_SR3 Bin (SR3_bin23      ): Content = 0.204     , Error = 0.013 , Error Perc. =6.373
EMu_2018_SR2 Bin (SR2_HTLTbin2   ): Content = 0.154     , Error = 0.011 , Error Perc. =7.143
EMu_2018_SR3 Bin (SR3_bin10      ): Content = 0.151     , Error = 0.01  , Error Perc. =6.623
EMu_2018_SR3 Bin (SR3_bin18      ): Content = 0.132     , Error = 0.013 , Error Perc. =9.848
EMu_2018_SR3 Bin (SR3_bin5       ): Content = 0.119     , Error = 0.01  , Error Perc. =8.403
EMu_2018_SR3 Bin (SR3_bin17      ): Content = 0.109     , Error = 0.011 , Error Perc. =10.092
EMu_2018_SR3 Bin (SR3_bin4       ): Content = 0.089     , Error = 0.008 , Error Perc. =8.989
EMu_2018_SR3 Bin (SR3_bin3       ): Content = 0.074     , Error = 0.008 , Error Perc. =10.811
EMu_2018_SR1 Bin (SR1_MNbin4     ): Content = 0.073     , Error = 0.007 , Error Perc. =9.589
EMu_2018_SR3 Bin (SR3_bin12      ): Content = 0.048     , Error = 0.006 , Error Perc. =12.5
EMu_2018_SR3 Bin (SR3_bin13      ): Content = 0.048     , Error = 0.006 , Error Perc. =12.5
EMu_2018_SR3 Bin (SR3_bin9       ): Content = 0.044     , Error = 0.006 , Error Perc. =13.636
EMu_2018_SR3 Bin (SR3_bin16      ): Content = 0.032     , Error = 0.005 , Error Perc. =15.625
EMu_2018_SR3 Bin (SR3_bin21      ): Content = 0.016     , Error = 0.005 , Error Perc. =31.25
EMu_2018_SR3 Bin (SR3_bin22      ): Content = 0.016     , Error = 0.005 , Error Perc. =31.25
EMu_2018_SR3 Bin (SR3_bin2       ): Content = 0.015     , Error = 0.003 , Error Perc. =20.0
EMu_2018_SR3 Bin (SR3_bin8       ): Content = 0.015     , Error = 0.004 , Error Perc. =26.667
EMu_2018_SR2 Bin (SR2_HTLTbin5   ): Content = 0.013     , Error = 0.004 , Error Perc. =30.769
EMu_2018_SR1 Bin (SR1_MNbin3     ): Content = 0.012     , Error = 0.003 , Error Perc. =25.0
EMu_2018_SR3 Bin (SR3_bin11      ): Content = 0.01      , Error = 0.004 , Error Perc. =40.0
EMu_2018_SR2 Bin (SR2_HTLTbin3   ): Content = 0.007     , Error = 0.003 , Error Perc. =42.857
EMu_2018_SR3 Bin (SR3_bin1       ): Content = 0.006     , Error = 0.002 , Error Perc. =33.333
EMu_2018_SR1 Bin (SR1_MNbin2     ): Content = 0.004     , Error = 0.002 , Error Perc. =50.0
EMu_2018_SR3 Bin (SR3_bin7       ): Content = 0.003     , Error = 0.002 , Error Perc. =66.667
EMu_2018_SR3 Bin (SR3_bin15      ): Content = 0.001     , Error = 0.002 , Error Perc. =200.0
EMu_2018_SR3 Bin (SR3_bin20      ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EMu_2018_SR1 Bin (SR1_MNbin1     ): Content = 0.0       , Error = 0.001 , Error Perc. =0.0
