MuMu_2017_SR1 Bin (SR1_MNbin2     ): Content = 1.045     , Error = 0.013 , Error Perc. =1.244
MuMu_2017_SR3 Bin (SR3_bin16      ): Content = 0.078     , Error = 0.003 , Error Perc. =3.846
MuMu_2017_SR2 Bin (SR2_HTLTbin1   ): Content = 0.043     , Error = 0.003 , Error Perc. =6.977
MuMu_2017_SR2 Bin (SR2_HTLTbin4   ): Content = 0.037     , Error = 0.002 , Error Perc. =5.405
MuMu_2017_SR3 Bin (SR3_bin6       ): Content = 0.02      , Error = 0.002 , Error Perc. =10.0
MuMu_2017_SR2 Bin (SR2_HTLTbin2   ): Content = 0.018     , Error = 0.002 , Error Perc. =11.111
MuMu_2017_SR3 Bin (SR3_bin3       ): Content = 0.018     , Error = 0.002 , Error Perc. =11.111
MuMu_2017_SR3 Bin (SR3_bin20      ): Content = 0.017     , Error = 0.001 , Error Perc. =5.882
MuMu_2017_SR3 Bin (SR3_bin9       ): Content = 0.011     , Error = 0.001 , Error Perc. =9.091
MuMu_2017_SR3 Bin (SR3_bin14      ): Content = 0.002     , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin15      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR2 Bin (SR2_HTLTbin5   ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin8       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR1 Bin (SR1_MNbin1     ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR2 Bin (SR2_HTLTbin3   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin2       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin4       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin5       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin7       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin10      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin11      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin12      ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin13      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin17      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin18      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin19      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
