EE_2016preVFP_SR1 Bin (SR1_MNbin3     ): Content = 6.711     , Error = 0.068 , Error Perc. =1.013
EE_2016preVFP_SR3 Bin (SR3_bin21      ): Content = 0.93      , Error = 0.021 , Error Perc. =2.258
EE_2016preVFP_SR2 Bin (SR2_HTLTbin1   ): Content = 0.214     , Error = 0.014 , Error Perc. =6.542
EE_2016preVFP_SR3 Bin (SR3_bin10      ): Content = 0.135     , Error = 0.008 , Error Perc. =5.926
EE_2016preVFP_SR2 Bin (SR2_HTLTbin3   ): Content = 0.113     , Error = 0.01  , Error Perc. =8.85
EE_2016preVFP_SR3 Bin (SR3_bin25      ): Content = 0.113     , Error = 0.009 , Error Perc. =7.965
EE_2016preVFP_SR3 Bin (SR3_bin7       ): Content = 0.105     , Error = 0.006 , Error Perc. =5.714
EE_2016preVFP_SR3 Bin (SR3_bin20      ): Content = 0.095     , Error = 0.008 , Error Perc. =8.421
EE_2016preVFP_SR2 Bin (SR2_HTLTbin4   ): Content = 0.043     , Error = 0.006 , Error Perc. =13.953
EE_2016preVFP_SR3 Bin (SR3_bin13      ): Content = 0.038     , Error = 0.005 , Error Perc. =13.158
EE_2016preVFP_SR3 Bin (SR3_bin19      ): Content = 0.036     , Error = 0.005 , Error Perc. =13.889
EE_2016preVFP_SR1 Bin (SR1_MNbin2     ): Content = 0.027     , Error = 0.005 , Error Perc. =18.519
EE_2016preVFP_SR2 Bin (SR2_HTLTbin2   ): Content = 0.026     , Error = 0.005 , Error Perc. =19.231
EE_2016preVFP_SR3 Bin (SR3_bin18      ): Content = 0.025     , Error = 0.004 , Error Perc. =16.0
EE_2016preVFP_SR3 Bin (SR3_bin6       ): Content = 0.02      , Error = 0.003 , Error Perc. =15.0
EE_2016preVFP_SR3 Bin (SR3_bin5       ): Content = 0.017     , Error = 0.003 , Error Perc. =17.647
EE_2016preVFP_SR3 Bin (SR3_bin17      ): Content = 0.013     , Error = 0.004 , Error Perc. =30.769
EE_2016preVFP_SR3 Bin (SR3_bin4       ): Content = 0.012     , Error = 0.002 , Error Perc. =16.667
EE_2016preVFP_SR1 Bin (SR1_MNbin1     ): Content = 0.009     , Error = 0.003 , Error Perc. =33.333
EE_2016preVFP_SR3 Bin (SR3_bin24      ): Content = 0.009     , Error = 0.003 , Error Perc. =33.333
EE_2016preVFP_SR3 Bin (SR3_bin9       ): Content = 0.008     , Error = 0.002 , Error Perc. =25.0
EE_2016preVFP_SR3 Bin (SR3_bin16      ): Content = 0.005     , Error = 0.002 , Error Perc. =40.0
EE_2016preVFP_SR2 Bin (SR2_HTLTbin5   ): Content = 0.004     , Error = 0.002 , Error Perc. =50.0
EE_2016preVFP_SR3 Bin (SR3_bin11      ): Content = 0.004     , Error = 0.002 , Error Perc. =50.0
EE_2016preVFP_SR3 Bin (SR3_bin12      ): Content = 0.004     , Error = 0.001 , Error Perc. =25.0
EE_2016preVFP_SR3 Bin (SR3_bin3       ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
EE_2016preVFP_SR3 Bin (SR3_bin14      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
EE_2016preVFP_SR3 Bin (SR3_bin2       ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EE_2016preVFP_SR3 Bin (SR3_bin8       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
EE_2016preVFP_SR3 Bin (SR3_bin15      ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EE_2016preVFP_SR3 Bin (SR3_bin23      ): Content = 0.001     , Error = 0.002 , Error Perc. =200.0
EE_2016preVFP_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EE_2016preVFP_SR3 Bin (SR3_bin22      ): Content = 0.0       , Error = 0.001 , Error Perc. =0.0
