EMu_2016preVFP_SR2 Bin (SR2_HTLTbin1   ): Content = 4.278     , Error = 0.03  , Error Perc. =0.701
EMu_2016preVFP_SR3 Bin (SR3_bin6       ): Content = 2.39      , Error = 0.024 , Error Perc. =1.004
EMu_2016preVFP_SR3 Bin (SR3_bin19      ): Content = 0.645     , Error = 0.013 , Error Perc. =2.016
EMu_2016preVFP_SR3 Bin (SR3_bin14      ): Content = 0.227     , Error = 0.007 , Error Perc. =3.084
EMu_2016preVFP_SR3 Bin (SR3_bin5       ): Content = 0.083     , Error = 0.005 , Error Perc. =6.024
EMu_2016preVFP_SR3 Bin (SR3_bin23      ): Content = 0.061     , Error = 0.004 , Error Perc. =6.557
EMu_2016preVFP_SR3 Bin (SR3_bin10      ): Content = 0.059     , Error = 0.004 , Error Perc. =6.78
EMu_2016preVFP_SR2 Bin (SR2_HTLTbin3   ): Content = 0.058     , Error = 0.004 , Error Perc. =6.897
EMu_2016preVFP_SR1 Bin (SR1_MNbin4     ): Content = 0.025     , Error = 0.002 , Error Perc. =8.0
EMu_2016preVFP_SR3 Bin (SR3_bin4       ): Content = 0.025     , Error = 0.003 , Error Perc. =12.0
EMu_2016preVFP_SR2 Bin (SR2_HTLTbin4   ): Content = 0.019     , Error = 0.002 , Error Perc. =10.526
EMu_2016preVFP_SR3 Bin (SR3_bin3       ): Content = 0.018     , Error = 0.002 , Error Perc. =11.111
EMu_2016preVFP_SR3 Bin (SR3_bin18      ): Content = 0.018     , Error = 0.003 , Error Perc. =16.667
EMu_2016preVFP_SR3 Bin (SR3_bin13      ): Content = 0.017     , Error = 0.002 , Error Perc. =11.765
EMu_2016preVFP_SR2 Bin (SR2_HTLTbin2   ): Content = 0.014     , Error = 0.002 , Error Perc. =14.286
EMu_2016preVFP_SR3 Bin (SR3_bin17      ): Content = 0.012     , Error = 0.002 , Error Perc. =16.667
EMu_2016preVFP_SR3 Bin (SR3_bin9       ): Content = 0.01      , Error = 0.002 , Error Perc. =20.0
EMu_2016preVFP_SR3 Bin (SR3_bin12      ): Content = 0.008     , Error = 0.002 , Error Perc. =25.0
EMu_2016preVFP_SR3 Bin (SR3_bin2       ): Content = 0.007     , Error = 0.002 , Error Perc. =28.571
EMu_2016preVFP_SR3 Bin (SR3_bin16      ): Content = 0.007     , Error = 0.002 , Error Perc. =28.571
EMu_2016preVFP_SR3 Bin (SR3_bin22      ): Content = 0.006     , Error = 0.001 , Error Perc. =16.667
EMu_2016preVFP_SR3 Bin (SR3_bin8       ): Content = 0.004     , Error = 0.001 , Error Perc. =25.0
EMu_2016preVFP_SR3 Bin (SR3_bin21      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
EMu_2016preVFP_SR1 Bin (SR1_MNbin2     ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
EMu_2016preVFP_SR1 Bin (SR1_MNbin3     ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EMu_2016preVFP_SR3 Bin (SR3_bin7       ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EMu_2016preVFP_SR3 Bin (SR3_bin11      ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
EMu_2016preVFP_SR1 Bin (SR1_MNbin1     ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016preVFP_SR2 Bin (SR2_HTLTbin5   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016preVFP_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.001 , Error Perc. =0.0
EMu_2016preVFP_SR3 Bin (SR3_bin15      ): Content = 0.0       , Error = 0.001 , Error Perc. =0.0
EMu_2016preVFP_SR3 Bin (SR3_bin20      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
