EMu_2016postVFP_SR1 Bin (SR1_MNbin4     ): Content = 0.869     , Error = 0.008 , Error Perc. =0.921
EMu_2016postVFP_SR3 Bin (SR3_bin19      ): Content = 0.072     , Error = 0.002 , Error Perc. =2.778
EMu_2016postVFP_SR2 Bin (SR2_HTLTbin1   ): Content = 0.048     , Error = 0.002 , Error Perc. =4.167
EMu_2016postVFP_SR2 Bin (SR2_HTLTbin3   ): Content = 0.028     , Error = 0.001 , Error Perc. =3.571
EMu_2016postVFP_SR3 Bin (SR3_bin6       ): Content = 0.017     , Error = 0.001 , Error Perc. =5.882
EMu_2016postVFP_SR3 Bin (SR3_bin10      ): Content = 0.015     , Error = 0.001 , Error Perc. =6.667
EMu_2016postVFP_SR3 Bin (SR3_bin23      ): Content = 0.011     , Error = 0.001 , Error Perc. =9.091
EMu_2016postVFP_SR3 Bin (SR3_bin14      ): Content = 0.005     , Error = 0.001 , Error Perc. =20.0
EMu_2016postVFP_SR1 Bin (SR1_MNbin3     ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR2 Bin (SR2_HTLTbin2   ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR1 Bin (SR1_MNbin1     ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR1 Bin (SR1_MNbin2     ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR2 Bin (SR2_HTLTbin4   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR2 Bin (SR2_HTLTbin5   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin2       ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin3       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin4       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin5       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin7       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin8       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin9       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin11      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin12      ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin13      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin15      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin16      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin17      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin18      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin20      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin21      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
EMu_2016postVFP_SR3 Bin (SR3_bin22      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
