MuMu_2016preVFP_SR2 Bin (SR2_HTLTbin1   ): Content = 0.624     , Error = 0.009 , Error Perc. =1.442
MuMu_2016preVFP_SR3 Bin (SR3_bin3       ): Content = 0.351     , Error = 0.007 , Error Perc. =1.994
MuMu_2016preVFP_SR3 Bin (SR3_bin16      ): Content = 0.084     , Error = 0.003 , Error Perc. =3.571
MuMu_2016preVFP_SR3 Bin (SR3_bin9       ): Content = 0.052     , Error = 0.003 , Error Perc. =5.769
MuMu_2016preVFP_SR2 Bin (SR2_HTLTbin3   ): Content = 0.011     , Error = 0.001 , Error Perc. =9.091
MuMu_2016preVFP_SR3 Bin (SR3_bin6       ): Content = 0.011     , Error = 0.001 , Error Perc. =9.091
MuMu_2016preVFP_SR3 Bin (SR3_bin20      ): Content = 0.011     , Error = 0.001 , Error Perc. =9.091
MuMu_2016preVFP_SR3 Bin (SR3_bin15      ): Content = 0.008     , Error = 0.001 , Error Perc. =12.5
MuMu_2016preVFP_SR3 Bin (SR3_bin14      ): Content = 0.006     , Error = 0.001 , Error Perc. =16.667
MuMu_2016preVFP_SR1 Bin (SR1_MNbin2     ): Content = 0.004     , Error = 0.001 , Error Perc. =25.0
MuMu_2016preVFP_SR2 Bin (SR2_HTLTbin2   ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2016preVFP_SR3 Bin (SR3_bin2       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin5       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin11      ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin12      ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin13      ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2016preVFP_SR3 Bin (SR3_bin18      ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR1 Bin (SR1_MNbin1     ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR2 Bin (SR2_HTLTbin4   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR2 Bin (SR2_HTLTbin5   ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin4       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin7       ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin8       ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin10      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin17      ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2016preVFP_SR3 Bin (SR3_bin19      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
