MuMu_2017_SR2 Bin (SR2_HTLTbin1   ): Content = 1.323     , Error = 0.016 , Error Perc. =1.209
MuMu_2017_SR3 Bin (SR3_bin3       ): Content = 0.667     , Error = 0.012 , Error Perc. =1.799
MuMu_2017_SR3 Bin (SR3_bin16      ): Content = 0.17      , Error = 0.007 , Error Perc. =4.118
MuMu_2017_SR3 Bin (SR3_bin9       ): Content = 0.111     , Error = 0.005 , Error Perc. =4.505
MuMu_2017_SR3 Bin (SR3_bin20      ): Content = 0.036     , Error = 0.003 , Error Perc. =8.333
MuMu_2017_SR2 Bin (SR2_HTLTbin4   ): Content = 0.031     , Error = 0.003 , Error Perc. =9.677
MuMu_2017_SR3 Bin (SR3_bin15      ): Content = 0.02      , Error = 0.002 , Error Perc. =10.0
MuMu_2017_SR3 Bin (SR3_bin14      ): Content = 0.018     , Error = 0.002 , Error Perc. =11.111
MuMu_2017_SR2 Bin (SR2_HTLTbin2   ): Content = 0.016     , Error = 0.002 , Error Perc. =12.5
MuMu_2017_SR3 Bin (SR3_bin6       ): Content = 0.014     , Error = 0.002 , Error Perc. =14.286
MuMu_2017_SR3 Bin (SR3_bin2       ): Content = 0.008     , Error = 0.001 , Error Perc. =12.5
MuMu_2017_SR1 Bin (SR1_MNbin2     ): Content = 0.007     , Error = 0.001 , Error Perc. =14.286
MuMu_2017_SR3 Bin (SR3_bin8       ): Content = 0.004     , Error = 0.001 , Error Perc. =25.0
MuMu_2017_SR3 Bin (SR3_bin5       ): Content = 0.003     , Error = 0.001 , Error Perc. =33.333
MuMu_2017_SR3 Bin (SR3_bin1       ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR3 Bin (SR3_bin11      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR3 Bin (SR3_bin12      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR3 Bin (SR3_bin13      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR3 Bin (SR3_bin18      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR3 Bin (SR3_bin19      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2017_SR2 Bin (SR2_HTLTbin3   ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2017_SR2 Bin (SR2_HTLTbin5   ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2017_SR3 Bin (SR3_bin4       ): Content = 0.001     , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin10      ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2017_SR1 Bin (SR1_MNbin1     ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin7       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2017_SR3 Bin (SR3_bin17      ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
